City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
267,Emilio Carranza,MX,19.9711,-96.6114,71.28,83,100,4.12,overcast clouds
268,Kaya,BF,13.0917,-1.0844,66.85,21,30,9.84,scattered clouds
269,Haines Junction,CA,60.7522,-137.5108,2.86,100,100,0.31,overcast clouds
270,Buta,CD,2.7858,24.73,66.11,59,36,0.29,scattered clouds
271,Accra,GH,5.556,-0.1969,79.2,78,92,1.07,overcast clouds
272,Methoni,GR,36.8197,21.7049,55.22,76,18,5.5,few clouds
273,Ancud,CL,-41.8697,-73.8203,53.4,90,62,3.0,broken clouds
274,Amalapuram,IN,16.5833,82.0167,72.73,87,8,1.9,clear sky
275,Iskateley,RU,67.6803,53.1512,-2.76,94,100,9.28,overcast clouds
276,Rio Gallegos,AR,-51.6226,-69.2181,47.34,63,87,31.76,overcast clouds
277,Pangnirtung,CA,66.1451,-65.7125,-15.02,100,100,1.14,overcast clouds
278,Litovko,RU,49.2361,135.1742,-3.84,88,11,3.62,few clouds
279,Imbituba,BR,-28.24,-48.6703,70.63,68,98,4.76,overcast clouds
280,Kilindoni,TZ,-7.9139,39.6668,80.87,73,35,11.1,scattered clouds
281,El Dorado,US,38.7666,-120.5177,45.64,97,100,1.01,light rain
282,Waipawa,NZ,-41.4122,175.5153,57.9,88,100,16.96,overcast clouds
283,Waingapu,ID,-9.6567,120.2641,84.16,65,100,17.67,overcast clouds
284,Cockburn Town,TC,21.4612,-71.1419,78.76,76,2,23.29,clear sky
285,Otane,NZ,-39.8833,176.6333,73.0,50,3,10.45,clear sky
286,Barreiras,BR,-12.1528,-44.99,69.22,93,5,0.76,clear sky
287,Alta Floresta,BR,-9.8756,-56.0861,71.42,97,100,1.23,overcast clouds
288,Poum,NC,-20.2333,164.0167,81.25,78,98,13.58,overcast clouds
289,Santa Maria,BR,-29.6842,-53.8069,65.84,33,0,5.17,clear sky
290,Mitsamiouli,KM,-11.3847,43.2844,80.6,74,37,5.88,light rain
291,Arlit,NE,18.7369,7.3853,59.95,20,76,5.35,broken clouds
292,Vardo,NO,70.3705,31.1107,24.78,74,20,11.5,few clouds
293,Mount Gambier,AU,-37.8333,140.7667,69.66,54,26,7.83,scattered clouds
294,Mayenne,FR,48.3333,-0.6667,40.44,97,100,10.6,overcast clouds
295,Olinda,BR,-8.0089,-34.8553,82.13,69,40,9.22,scattered clouds
296,Labuhan,ID,-6.8844,112.2051,78.42,86,100,15.88,heavy intensity rain
297,Bengkulu,ID,-3.8004,102.2655,79.29,72,98,5.7,overcast clouds
298,Along,IN,28.1667,94.7667,52.9,56,6,1.28,clear sky
299,Kangaatsiaq,GL,68.3065,-53.4641,14.32,78,100,19.06,overcast clouds
300,La Macarena,CO,2.1837,-73.7849,79.66,56,83,3.13,broken clouds
301,Kabo,CF,7.6994,18.629,66.06,29,78,4.63,broken clouds
302,Tak Bai,TH,6.2595,102.0546,79.72,75,100,3.4,overcast clouds
303,Nishihara,JP,26.1842,127.7558,60.85,91,100,25.32,light intensity shower rain
304,Zahirabad,IN,17.6833,77.6167,67.75,73,5,4.32,clear sky
305,Pangody,RU,65.85,74.4859,-24.43,100,36,6.06,scattered clouds
306,Aksarka,RU,66.5606,67.7975,-20.51,100,98,3.4,overcast clouds
307,Ambon,ID,-3.6954,128.1814,84.34,70,40,3.44,scattered clouds
308,Freeport,US,40.6576,-73.5832,48.16,85,0,9.22,clear sky
309,Puerto Colombia,CO,10.9878,-74.9547,78.71,83,0,23.96,clear sky
310,Okha,RU,53.5739,142.9478,-1.01,89,18,14.63,few clouds
311,Mucuri,BR,-18.0864,-39.5508,75.25,88,8,10.58,clear sky
312,Khudumelapye,BW,-23.8833,24.75,66.27,73,52,6.15,light rain
313,Le Port,RE,-20.9373,55.2919,74.25,75,32,1.1,scattered clouds
314,Chuy,UY,-33.6971,-53.4616,59.18,73,0,4.41,clear sky
315,Wahpeton,US,46.2652,-96.6059,12.92,85,100,11.5,overcast clouds
316,San Patricio,US,28.017,-97.5169,70.92,91,100,7.72,overcast clouds
317,Kuito,AO,-12.3833,16.9333,59.59,92,100,3.76,light rain
318,Port Hedland,AU,-20.3167,118.5667,102.25,29,94,14.97,overcast clouds
319,Tulun,RU,54.5611,100.5792,-8.1,100,59,2.1,broken clouds
320,Aswan,EG,24.0934,32.907,55.22,40,0,7.65,clear sky
321,Lavrentiya,RU,65.5833,-171.0,-7.19,82,100,8.97,overcast clouds
322,Hobyo,SO,5.3505,48.5268,76.75,76,22,18.14,few clouds
323,Honiara,SB,-9.4333,159.95,86.16,67,100,6.78,overcast clouds
324,Atar,MR,20.5169,-13.0499,72.43,27,62,30.06,broken clouds
325,Palauig,PH,15.435,119.9045,84.47,61,78,0.87,broken clouds
326,Bad Gandersheim,DE,51.8667,10.0333,47.37,77,64,3.0,broken clouds
327,Patacamaya,BO,-17.2333,-67.9167,47.1,81,94,7.63,overcast clouds
328,Fereydun Kenar,IR,36.6864,52.5225,49.86,88,81,4.97,light rain
329,Paulo Afonso,BR,-9.4061,-38.2147,76.08,67,78,10.47,broken clouds
330,Sitka,US,57.0531,-135.33,35.08,92,100,7.92,snow
331,Cabedelo,BR,-6.9811,-34.8339,81.27,79,40,11.9,scattered clouds
332,Zeya,RU,53.75,127.2667,-3.19,96,100,3.02,light snow
333,Bapatla,IN,15.9,80.4667,73.78,81,0,2.66,clear sky
334,Half Moon Bay,US,37.4636,-122.4286,55.24,95,100,0.0,mist
335,Lagoa,PT,39.05,-27.9833,62.22,86,100,37.76,light rain
336,Taseyevo,RU,57.2169,94.8978,-12.59,100,96,1.05,overcast clouds
337,Taunggyi,MM,20.7833,97.0333,57.42,69,72,3.6,broken clouds
338,Ocean City,US,39.2776,-74.5746,42.01,78,4,4.0,clear sky
339,Krasnoarmeysk,RU,51.0239,45.6969,26.82,91,100,9.57,overcast clouds
340,Belyy Yar,RU,53.6039,91.3903,3.09,87,75,2.24,light snow
341,Wageningen,NL,51.9667,5.6667,43.99,89,20,9.22,few clouds
342,Mezen,RU,65.8522,44.24,7.14,96,95,5.75,overcast clouds
343,Denpasar,ID,-8.65,115.2167,85.66,79,40,5.75,scattered clouds
344,Talara,PE,-4.5772,-81.2719,72.36,83,40,13.8,scattered clouds
